h,u,v
936,18.528197855438137,-0.9310758931421432
939,18.69050640076691,-1.2489972914871115
942,18.17109803191236,-0.678923303944047
945,19.008329543639725,-0.6744119638878071
948,19.397555445892632,-0.7535367878008669
951,18.1379328585495,-0.591296777545501
954,18.754082141601966,-0.7149787105474376
956,18.494342642512365,-0.5999128619332073
959,18.734423281566624,-0.8388526491431006
962,19.18879058159481,-0.5418506090502648
965,19.14314730839891,-0.6564719638002315
968,18.178628352554274,-0.37274997000314386
971,19.415777730155423,-0.255983981190476
974,18.88182565654898,-0.1163551566315571
978,18.08890365757211,-0.23680188189296536
982,18.426790581701702,-0.014058864396321567
985,18.9878748101073,-0.01290849232624563
989,17.965702946710092,-0.3254277425373589
992,18.90069335434531,-0.10065778084574313
996,17.62695407070464,-0.021526844747891297
999,18.954499707584063,-0.6155507311441348
1003,17.754058432839845,-0.1154114446898657
1006,17.816965261082437,-0.1045920933825835
1010,18.360541569828786,0.28331180340922185
1014,17.788488074074557,-0.0837645598220395
1018,17.714835151734903,-0.1256942317099105
1022,18.183957439335213,-0.017012143859837434
1027,18.5734011567733,-0.06552696570263389
1030,18.778107848106043,0.2410291036666167
1034,18.482917899231904,0.3556129827727299
1038,18.502495286435582,0.007584413260995148
1041,18.845494155338464,0.2537243634637624
1045,18.112754597357092,0.4767169229307249
1048,17.476644656177736,0.33449687507460846
1052,18.818489309496066,0.43659379777825297
1055,18.27330884739044,0.9228264886915492
1059,18.206184808539025,0.4964618612554579
1062,18.62957220204873,0.7320439702581097
1066,19.123699503005703,0.9363029939891115
1069,18.50045740539863,1.1948880146659304
1073,18.002784891417463,0.8834324815040119
1077,17.869569315123215,1.060454226100664
1080,18.17050883055026,1.0974515422140856
1084,18.69467298212883,1.8356480607219896
1088,18.77019483594331,1.4147431716799688
1092,18.819508651632557,1.9146801839723704
1097,19.228690347897633,2.2242914879486713
1101,18.381049440770177,2.384218524024981
1106,17.97498935735842,2.152738978121991
1110,19.0240894626691,2.8459946442042066
1115,18.984658985707963,2.400098780532898
1119,17.87671538012641,3.1384711327925023
1122,18.6621916977075,3.6222370299337037
1126,17.699873595993132,3.440475667667337
1129,18.621590641338233,3.508209021422665
1132,18.159124785006174,4.087701276349489
1135,18.092874428422054,4.068440922796271
1138,18.61400300499132,4.477916961933844
1141,17.902845944339997,4.278076660171857
1144,18.094009666795557,4.5173295012873576
1149,17.100697487258298,4.5578386601321474
1153,17.860763411906756,5.0087344452343565
1158,18.381779028383026,4.604722402635928
1163,17.801975730029962,4.781170634306568
1167,18.379006516782532,5.065219054182736
1172,18.14410726887848,5.43120197705659
1175,17.656408388291883,4.741556894610965
1179,17.885493984434653,5.363545947704243
1183,17.816268593967113,5.356233036855765
1186,17.86668806786343,5.170511541780104
1189,18.480021194682003,5.168753923016141
1192,18.06697813971001,5.022404141064024
1195,18.20107666099763,4.96804794316898
1199,17.975225477817062,5.451516074684075
1203,17.096655460458937,5.073381753041905
1207,17.333242675954786,4.667156091302928
1212,18.03819244140705,4.588578030219095
1217,18.352148040476266,4.964969156398032
1221,17.632839788943365,4.833773792924232
1226,17.34464511568889,4.765354076462419
1230,18.578262516341336,4.711278420689187
1235,18.192275771126358,4.638092907770195
1239,18.17010773643222,4.6579485747882305
1244,18.264496297589705,4.599608468776701
1248,17.85637156183794,4.2812615506835225
1253,18.079485666703558,4.77136343649171
1258,18.377369886995755,4.62076703599201
1262,18.546371921394922,4.6853873549403495
1267,18.581447355182974,4.817806490101938
1271,17.608527700706755,4.500838169680997
1275,18.490825956669134,4.8447607289764845
1279,18.126767119055938,4.777680495511986
1283,18.700893685772648,4.738982083056831
1288,17.80473288142376,4.659937465399824
1291,17.770961918459747,4.365333672534745
1295,18.85980441038897,4.9689990405064
1298,18.135304016324472,4.203127403013713
1301,17.8034474832083,4.330097901672111
1304,19.135172265176667,4.4928959728889755
1306,18.9281032348719,5.066453148491061
1309,17.723804154775046,4.643919638363649
1312,18.16452208905173,4.775898662651208
1315,17.739754168648478,4.425392822930931
1318,18.21579662159689,3.8819182097894775
1322,19.038014057323604,4.177302703905676
1327,18.850300880759487,4.2447307243975905
1331,18.368970224978032,4.377056264802097
1336,18.972437267798075,4.40193721880659
1340,19.300204576343024,4.150003223083854
1345,18.592482872733182,4.014872166040873
1349,19.546175885617203,3.95615378007932
1353,19.079307697400452,3.7492479165682218
1358,19.338075926550708,3.9491091901231625
1364,18.050271105800967,4.108351101865465
1370,18.692655259854778,3.6372423104833986
1376,18.450768670422942,3.9214411218529728
1382,18.127516011626284,3.6971385970697312
1388,18.74582883065065,3.6308572246788406
1394,18.56921423547115,3.4802285774365367
1399,19.092212159695563,3.3182066129814176
1404,18.451439442781023,3.0166885388238613
1408,19.17190218712267,3.329065303515424
1412,18.553564171221332,3.235132652912873
1416,18.57247057920285,3.030521116071294
1419,18.474276409198392,2.972652768806052
1423,17.89285583200935,2.8877654053294695
1426,18.866690432773527,2.706597046793545
1430,18.3089246912523,3.184483366464833
1433,18.196283628546134,2.7675616587706644
1436,18.15870921070937,2.690155404503291
1440,18.354698301017766,3.1866865823908435
1443,17.979749406282895,2.77229762894335
1447,18.43797160752444,2.89195858507495
1450,18.098456074229375,2.5074852165302772
1455,17.776962802688463,2.512477761633941
1460,16.74197904120302,2.413357639986728
1466,16.981187382741297,2.18638187067071
1472,17.907168462372823,2.602508212336327
1477,17.369612315408393,2.4374709569516435
1482,17.84506387726346,2.0223226856515097
1486,17.212295244650917,1.9442007757056814
1490,17.472830058023266,2.100455280652355
1494,16.892545378907187,2.0323038774509876
1498,16.409083758782778,2.1998101811327113
1503,17.128583237475997,2.3888137241750758
1507,16.298457840958687,2.01240477646322
1512,15.970784073021589,1.868395739112063
1517,15.846924412748956,1.6428588406150604
1521,16.53239175091718,1.6567350024521939
1526,16.47309996295927,1.5816955877286876
1530,15.233258374761197,1.8082694661399623
1533,14.865859582102487,1.4248530097592997
1534,15.33386320506937,1.4408782549023993
1539,14.872137253251575,1.7277884230757856
1543,15.03600572205728,1.4511393174136873
1548,14.311964702814759,1.3073905273756952
1553,14.682399854534065,1.450647779796652
1559,14.604837477670092,1.3103825337819568
1565,14.462598261619013,1.4968434202347398
1571,15.042246656035704,1.7565208327091326
1576,14.14272200061789,1.5856134731985356
1582,13.578942570282472,1.5486798392294554
1586,13.81679489842253,1.3870480965554
1591,13.633358514400546,1.0790961308055242
1595,14.747391158724092,1.1438104374301805
1599,13.717362945172855,1.0346641850130647
1604,13.922510676386871,1.0813639482042943
1609,13.886434326348594,1.2233180558986931
1614,13.48965717164228,1.1222765178189753
1620,13.647616625865489,1.3080679202860168
1625,14.525788307014247,1.1859366567988918
1629,13.676504717933835,1.1203547628032542
1633,13.122969659641504,0.8343131617022019
1637,14.320678014156048,1.2433719389981734
1640,13.317463661860378,1.0139518110434458
1644,13.139359392943502,0.7793825158298364
1647,14.35314990187242,0.8605007139695379
1650,13.200603953242846,0.7696250401995737
1653,14.057383353696126,0.9095031004546754
1657,13.765138523023383,0.2895678603786893
1661,14.044829635955008,0.44789443257797584
1665,13.18826899726923,0.37720096312685936
1669,13.792283961017755,0.48537489220936114
1674,13.682645021512057,0.3193059320488006
1680,13.57037701317894,0.32202752552571606
1685,13.407235631119857,0.43224242965439424
1691,13.559259951842112,-0.0702322563858357
1697,13.94068956475669,0.09704523183906691
1702,13.411005042377221,0.05848261266904766
1708,13.714440918602321,-0.1002102266085374
1714,14.444975135562732,-0.44090720083653606
1720,14.15639654627967,-0.2268805066703322
1725,14.44494692968935,-0.7550082516333061
1730,12.881098317498282,-0.5501071943382774
1735,12.897559006137515,-0.48529450921201495
1740,12.983993570404246,-0.8639972530804204
1744,12.961280549282405,-0.6664524128822944
1750,13.634700512930955,-0.716025607063732
1754,13.602386403700775,-0.5033382158657597
1759,12.783272594919229,-0.5734029052024097
1763,12.264843547356618,-0.6489145794126078
1766,12.771883657597664,-0.7213526866056624
1770,12.849938973966124,-0.9809173556171445
1774,13.29138304146483,-0.7039650702203784
1778,12.305096149775743,-0.9052299615815993
1782,13.161884463174353,-1.0253632780908772
1786,11.860461995713916,-0.7171873701275676
1792,12.016718457231184,-0.6608930182610055
1797,12.8448768645239,-0.6344861778368213
1802,13.032667104129807,-0.7464683382002488
1807,12.973546393967618,-0.8526135790867061
1812,11.785990502922811,-0.582494783405784
1816,11.906722036303591,-0.5694269787218863
1820,12.57651098113551,-0.6470893856455716
1823,12.761461510323608,-0.6657301517647328
1827,12.293895682180281,-0.6063942451754557
1830,11.695472474644877,-0.14456413436197904
1832,11.94793515953809,-0.19387182902694072
1835,12.362036283190067,-0.33201876588835383
1838,12.793163068196476,-0.21592986865438563
1841,11.623645948442682,0.053311933970125513
1845,12.99088003122295,-0.15138260545036267
1848,12.882601050174541,0.16196342101329797
1852,11.57299840528042,0.08928653684761415
1856,13.025075645455631,0.19441820521926165
1861,12.80290539715614,0.053343133669762406
1865,12.87272973295972,0.3805752012531848
1869,11.604077597437067,0.2279064439312361
1873,11.793109996839334,0.4455801358135082
1877,12.992938549987274,0.6756638544066648
1882,12.999413289879303,0.7832757867719584
1887,12.706909328545716,0.7254970465056886
1891,13.333156331971482,0.8533897946967077
1896,13.13397127253878,1.038656139755226
1900,13.259169666814541,1.0840593737159392
1904,12.82494324484408,0.9362720049784541
1908,12.381558192910651,0.8986838306557655
1912,13.522220465801347,1.48234135372047
1915,12.869413946330473,1.372278750118076
1919,13.013269409614335,1.3789340841736686
1923,13.030360370756863,1.4386471486548293
1927,13.461478693035,1.4333634912390218
1932,12.607850132052263,1.579813093872423
1936,13.59302901537164,1.8273613140312985
1940,13.79946850606932,1.8854862115086886
1943,12.976785445281488,2.011640997102505
1947,12.957204884024224,1.8984745385578945
1951,12.89383112055325,1.898659790836151
1955,13.483909528145457,1.8304466544892828
1959,13.961927854182873,2.066036542045023
1962,13.3101481087239,1.9200783722921535
1966,14.35303466203787,1.9470109652728673
1971,13.095523826203593,1.7887945580613194
1975,14.222276646070819,1.8475828203674016
1978,14.0346908698605,1.711423021945304
1982,14.265433177665138,1.984559853937842
1986,13.840156821776004,1.7477988377581815
1990,13.402974304844692,1.599617075176309
1993,14.104080447948954,1.5417908792038586
1997,13.073621384138562,1.5192110699234722
2000,13.716445735250565,1.5809364875432765
2005,12.786270247812705,1.2732371963918274
2010,13.430230177951449,1.4860946845152117
2014,13.12055548992802,1.1751215868675433
2019,12.519380998654738,1.4013946203146752
2024,11.776065280709597,1.1155784768306012
2029,11.530601978543732,1.392014072040328
2034,11.412537652974489,1.0002376143110756
2039,12.712402270608804,1.451020504265923
2044,11.066380700215378,1.1101253365715602
2048,12.242237675095911,1.302155685891791
