height,u,v
1.276000000000000000e+03,1.192106533639247878e+01,1.111657326901872800e+01
1.281000000000000000e+03,1.203894617273378564e+01,1.083991582301350043e+01
1.286000000000000000e+03,1.196463169018604766e+01,1.077300276237761700e+01
1.291000000000000000e+03,1.199988232554207279e+01,1.043133856094906697e+01
1.296000000000000000e+03,1.192441136751979691e+01,1.036573265805001753e+01
1.301000000000000000e+03,1.184894040949751748e+01,1.030012675515096632e+01
1.306000000000000000e+03,1.195029331265605421e+01,1.002748671111001677e+01
1.312000000000000000e+03,1.187368886834415704e+01,9.963207950141363511e+00
1.316000000000000000e+03,1.196804780643734745e+01,9.691534022167502371e+00
1.322000000000000000e+03,1.189033321029165080e+01,9.628601983062520020e+00
1.327000000000000000e+03,1.197776345482217408e+01,9.358054424950003281e+00
1.333000000000000000e+03,1.197776345482217408e+01,9.358054424950003281e+00
1.339000000000000000e+03,1.213925975271884994e+01,9.147588351911133842e+00
1.346000000000000000e+03,1.205939620171412230e+01,9.087406849595929259e+00
1.353000000000000000e+03,1.221615661506170447e+01,8.875557309616345592e+00
1.360000000000000000e+03,1.229705831449919984e+01,8.934335834845592572e+00
1.366000000000000000e+03,1.229705831449919984e+01,8.934335834845592572e+00
1.371000000000000000e+03,1.245111107319267063e+01,8.718361832535904909e+00
1.377000000000000000e+03,1.253302627762157151e+01,8.775719476171010669e+00
1.382000000000000000e+03,1.253302627762157151e+01,8.775719476171010669e+00
1.388000000000000000e+03,1.261494148205047061e+01,8.833077119806114652e+00
1.393000000000000000e+03,1.269685668647936971e+01,8.890434763441218635e+00
1.398000000000000000e+03,1.277877189090826882e+01,8.947792407076322618e+00
1.404000000000000000e+03,1.277877189090826882e+01,8.947792407076322618e+00
1.408000000000000000e+03,1.286068709533716792e+01,9.005150050711428378e+00
1.413000000000000000e+03,1.294260229976606702e+01,9.062507694346532361e+00
1.418000000000000000e+03,1.302451750419496612e+01,9.119865337981638120e+00
1.423000000000000000e+03,1.294427190999915744e+01,9.404564036679571970e+00
1.429000000000000000e+03,1.302517360943665281e+01,9.463342561908820727e+00
1.434000000000000000e+03,1.310607530887414640e+01,9.522121087138065931e+00
1.440000000000000000e+03,1.318697700831164177e+01,9.580899612367314688e+00
1.445000000000000000e+03,1.301775881377087352e+01,9.809584877378387802e+00
1.450000000000000000e+03,1.309762236477560116e+01,9.869766379693590608e+00
1.455000000000000000e+03,1.309762236477560116e+01,9.869766379693590608e+00
1.459000000000000000e+03,1.317748591578033235e+01,9.929947882008796967e+00
1.464000000000000000e+03,1.300217743451091401e+01,1.015841434287336043e+01
1.469000000000000000e+03,1.308097850987158672e+01,1.021998049040592704e+01
1.473000000000000000e+03,1.308097850987158672e+01,1.021998049040592704e+01
1.477000000000000000e+03,1.308097850987158672e+01,1.021998049040592704e+01
1.482000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.486000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.491000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.496000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.501000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.507000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.512000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.512000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.517000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.522000000000000000e+03,1.290062296018571253e+01,1.044671849142730835e+01
1.528000000000000000e+03,1.308097850987158672e+01,1.021998049040592704e+01
1.534000000000000000e+03,1.300217743451091401e+01,1.015841434287336043e+01
1.540000000000000000e+03,1.300217743451091401e+01,1.015841434287336043e+01
1.546000000000000000e+03,1.300217743451091401e+01,1.015841434287336043e+01
1.551000000000000000e+03,1.317748591578033235e+01,9.929947882008796967e+00
1.555000000000000000e+03,1.317748591578033235e+01,9.929947882008796967e+00
1.560000000000000000e+03,1.317748591578033235e+01,9.929947882008796967e+00
1.564000000000000000e+03,1.334878040718663073e+01,9.698456662825808650e+00
1.569000000000000000e+03,1.334878040718663073e+01,9.698456662825808650e+00
1.574000000000000000e+03,1.334878040718663073e+01,9.698456662825808650e+00
1.580000000000000000e+03,1.351600873076836073e+01,9.464011199792265572e+00
1.585000000000000000e+03,1.351600873076836073e+01,9.464011199792265572e+00
1.591000000000000000e+03,1.359792393519726161e+01,9.521368843427371331e+00
1.596000000000000000e+03,1.376202370441369638e+01,9.282602197614393091e+00
1.601000000000000000e+03,1.376202370441369638e+01,9.282602197614393091e+00
1.605000000000000000e+03,1.392193142789404092e+01,9.041007981249448378e+00
1.610000000000000000e+03,1.392193142789404092e+01,9.041007981249448378e+00
1.615000000000000000e+03,1.392193142789404092e+01,9.041007981249448378e+00
1.619000000000000000e+03,1.416240320581231060e+01,8.849651712694523553e+00
1.623000000000000000e+03,1.416240320581231060e+01,8.849651712694523553e+00
1.627000000000000000e+03,1.416240320581231060e+01,8.849651712694523553e+00
1.631000000000000000e+03,1.431469392172527222e+01,8.601135850997909671e+00
1.635000000000000000e+03,1.440041065179548418e+01,8.652639658488915586e+00
1.639000000000000000e+03,1.440041065179548418e+01,8.652639658488915586e+00
1.644000000000000000e+03,1.440041065179548418e+01,8.652639658488915586e+00
1.649000000000000000e+03,1.448612738186569260e+01,8.704143465979919725e+00
1.655000000000000000e+03,1.463582932395700809e+01,8.450000000000006395e+00
1.661000000000000000e+03,1.472243186433545148e+01,8.500000000000007105e+00
1.667000000000000000e+03,1.472243186433545148e+01,8.500000000000007105e+00
1.673000000000000000e+03,1.480903440471389665e+01,8.550000000000007816e+00
1.680000000000000000e+03,1.480903440471389665e+01,8.550000000000007816e+00
1.685000000000000000e+03,1.489563694509234004e+01,8.600000000000006750e+00
1.691000000000000000e+03,1.489563694509234004e+01,8.600000000000006750e+00
1.696000000000000000e+03,1.498223948547078521e+01,8.650000000000007461e+00
1.701000000000000000e+03,1.506884202584922683e+01,8.700000000000006395e+00
1.706000000000000000e+03,1.521838290422548745e+01,8.435687392286260078e+00
1.710000000000000000e+03,1.530584487493942802e+01,8.484168354310893889e+00
1.716000000000000000e+03,1.539330684565336860e+01,8.532649316335529477e+00
1.721000000000000000e+03,1.539330684565336860e+01,8.532649316335529477e+00
1.727000000000000000e+03,1.548076881636730562e+01,8.581130278360161512e+00
1.732000000000000000e+03,1.556823078708124619e+01,8.629611240384795323e+00
1.737000000000000000e+03,1.550185472774144557e+01,8.950000000000006395e+00
1.742000000000000000e+03,1.550185472774144557e+01,8.950000000000006395e+00
1.746000000000000000e+03,1.558845726811989074e+01,9.000000000000007105e+00
1.750000000000000000e+03,1.558845726811989074e+01,9.000000000000007105e+00
1.755000000000000000e+03,1.567505980849833591e+01,9.050000000000009592e+00
1.760000000000000000e+03,1.576166234887677753e+01,9.100000000000008527e+00
1.765000000000000000e+03,1.576166234887677753e+01,9.100000000000008527e+00
1.769000000000000000e+03,1.584826488925522270e+01,9.150000000000009237e+00
1.774000000000000000e+03,1.584826488925522270e+01,9.150000000000009237e+00
1.778000000000000000e+03,1.593486742963366432e+01,9.200000000000008171e+00
1.783000000000000000e+03,1.593486742963366432e+01,9.200000000000008171e+00
1.787000000000000000e+03,1.593486742963366432e+01,9.200000000000008171e+00
1.791000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.795000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.799000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.804000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.809000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.814000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.820000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.825000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.830000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.834000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
