geopotential height_m,wind direction_degree,wind speed_m/s
3299,242,20
3304,242,20
3308,242,20
3311,241,20
3314,241,20
3317,241,20
3320,241,20
3323,241,20
3326,241,20
3330,241,20
3333,241,20
3336,241,20
3340,241,20
3343,241,19.9
3347,241,19.9
3351,241,19.9
3355,241,19.8
3360,241,19.8
3365,242,19.7
3370,242,19.6
3375,242,19.5
3379,242,19.4
3383,242,19.3
3387,242,19.2
3391,242,19.1
3395,242,19
3399,242,18.9
3404,242,18.8
3408,242,18.7
3413,242,18.6
3418,242,18.4
3422,242,18.3
3426,241,18.2
3431,241,18.2
3436,241,18.1
3441,241,18
3447,240,17.9
3452,240,17.9
3458,240,17.8
3464,239,17.8
3469,239,17.8
3474,239,17.8
3479,238,17.8
3485,238,17.8
3491,238,17.8
3496,237,17.8
3501,237,17.9
3506,237,17.9
3509,236,17.9
3512,236,18
3515,236,18
3518,236,18.1
3522,236,18.1
3526,235,18.2
3530,235,18.3
3534,235,18.3
3538,235,18.4
3543,235,18.4
3547,235,18.5
3552,235,18.5
3556,235,18.6
3561,234,18.6
3566,234,18.7
3571,234,18.7
3576,234,18.7
3581,234,18.8
3587,234,18.8
3593,234,18.8
3600,234,18.8
3606,234,18.8
3612,234,18.8
3616,234,18.8
3620,234,18.8
3623,234,18.7
3627,234,18.7
3631,234,18.7
3635,234,18.6
3640,234,18.6
3645,234,18.5
3650,234,18.5
3656,234,18.4
3662,234,18.3
3668,234,18.2
3672,234,18.2
3677,235,18.1
3681,235,18
3684,235,17.9
3688,235,17.9
3693,235,17.8
3698,236,17.8
3704,236,17.7
3710,236,17.7
3715,236,17.6
3720,237,17.6
3725,237,17.6
3730,237,17.6
3734,238,17.6
3740,238,17.6
3745,238,17.7
3750,239,17.7
3756,239,17.8
3761,239,17.8
3767,240,17.9
3772,240,17.9
3778,240,18
3783,241,18.1
3788,241,18.2
3793,241,18.3
3798,242,18.3
3803,242,18.4
3808,242,18.5
3814,243,18.6
3819,243,18.6
3825,243,18.7
3831,244,18.7
3837,244,18.8
3843,244,18.8
3849,244,18.9
3855,245,18.9
3861,245,18.9
3868,245,18.9
3875,245,19
3881,245,19
3887,246,19
3891,246,19
3896,246,19
3900,246,19
3904,246,19
3909,246,19.1
3914,246,19.1
3919,246,19.1
3923,246,19.1
3928,246,19.1
3932,246,19.2
3936,246,19.2
3940,246,19.3
3945,246,19.3
3950,246,19.4
3955,246,19.4
3959,246,19.5
3964,246,19.5
3968,246,19.6
3973,246,19.7
3978,246,19.8
3983,246,19.8
3988,246,19.9
3993,246,20
3997,245,20
4001,245,20.1
4005,245,20.2
4010,245,20.2
4014,245,20.3
4019,245,20.3
4023,245,20.4
4028,244,20.4
4033,244,20.5
4038,244,20.5
4043,244,20.5
4048,244,20.6
4054,244,20.6
4060,244,20.6
4065,243,20.6
4069,243,20.6
4074,243,20.5
4079,243,20.5
4084,243,20.5
4091,243,20.5
4098,243,20.4
4105,243,20.4
4112,243,20.3
4118,243,20.3
4123,244,20.2
4128,244,20.1
4132,244,20.1
4136,244,20
4140,244,19.9
4145,244,19.9
4150,245,19.8
4155,245,19.7
4162,245,19.7
4168,245,19.6
4175,246,19.6
4182,246,19.5
4187,246,19.5
4192,246,19.4
4196,246,19.4
4198,247,19.4
4201,247,19.4
4204,247,19.4
4208,247,19.4
4212,247,19.4
4216,248,19.5
4219,248,19.5
4223,248,19.6
4228,248,19.6
4232,248,19.7
4235,248,19.7
