h,theta,speed
2446,246,11.3
2452,246,11.3
2458,246,11.2
2464,246,11.2
2469,246,11.1
2474,246,11.1
2478,246,11
2481,246,10.9
2484,246,10.8
2488,246,10.8
2492,246,10.7
2497,246,10.6
2502,246,10.5
2507,246,10.5
2512,246,10.4
2517,246,10.3
2521,246,10.3
2525,246,10.2
2528,245,10.2
2532,245,10.2
2536,245,10.1
2541,245,10.1
2545,245,10.1
2550,245,10.1
2554,245,10.1
2558,245,10.2
2562,245,10.2
2565,245,10.2
2569,245,10.3
2573,245,10.3
2578,245,10.4
2584,245,10.5
2589,245,10.6
2595,245,10.6
2601,246,10.7
2606,246,10.8
2612,246,10.9
2618,246,11
2623,247,11
2628,247,11.1
2633,247,11.2
2637,247,11.2
2642,248,11.3
2646,248,11.4
2651,248,11.4
2656,249,11.4
2661,249,11.5
2666,249,11.5
2672,250,11.5
2678,250,11.5
2684,250,11.5
2690,251,11.5
2696,251,11.4
2700,251,11.4
2705,252,11.4
2708,252,11.3
2712,252,11.3
2716,252,11.2
2720,253,11.2
2726,253,11.1
2732,253,11.1
2738,253,11
2744,253,11
2750,253,10.9
2756,253,10.9
2761,254,10.8
2766,254,10.8
2771,254,10.7
2775,254,10.7
2780,254,10.7
2784,254,10.7
2789,254,10.7
2794,254,10.7
2799,254,10.7
2804,254,10.7
2810,254,10.7
2815,254,10.7
2820,254,10.8
2825,255,10.8
2831,255,10.8
2836,255,10.9
2842,255,10.9
2847,256,11
2852,256,11
2857,256,11
2862,256,11.1
2867,257,11.1
2873,257,11.2
2879,257,11.2
2887,258,11.3
2894,258,11.4
2902,258,11.4
2910,259,11.5
2916,259,11.5
2922,259,11.6
2928,259,11.6
2933,260,11.7
2939,260,11.7
2944,260,11.8
2949,260,11.8
2954,261,11.9
2958,261,11.9
2962,261,12
2966,261,12
2970,261,12.1
2975,261,12.1
2979,261,12.2
2983,261,12.2
2988,261,12.2
2992,261,12.3
2997,261,12.3
3002,261,12.4
3007,261,12.4
3011,261,12.4
3015,261,12.5
3019,261,12.5
3024,261,12.5
3028,261,12.5
3033,261,12.6
3038,261,12.6
3043,261,12.6
