h,u,v
946,9.129701167710362,-6.934727638234604
952,8.984541102851084,-7.046521922166657
956,9.62103958614351,-7.430801682814015
961,7.949402069876236,-5.975699344224382
966,9.945316705013587,-7.759448398284828
971,7.900017513861391,-6.1435072667682835
977,11.144031760654093,-6.417290634441037
983,9.472779383382903,-6.323006879250229
989,9.432031321426575,-6.837711291112647
994,8.290757032752508,-6.408725217536433
998,9.1289400695479,-6.455747882413213
1002,8.70356434364854,-6.694711311228666
1006,9.683485041317908,-7.422989870467565
1010,11.548862439902665,-6.930516814559745
1013,10.168653069407977,-6.95049962793071
1018,10.418254122185997,-6.854713007397975
1023,8.788164607708978,-5.422484487159731
1028,10.51506008765759,-7.152888249133494
1035,8.29300998295285,-6.992028105541704
1041,8.433907880857358,-6.1685996524063045
1048,11.979922812448358,-8.00377545656996
1054,10.435606848848662,-9.054415621281874
1060,9.027800235264143,-6.00076044914333
1066,8.672911923107705,-7.532734110519867
1072,9.994171233319047,-7.44478654104306
1076,8.956550112663619,-8.176070186027102
1081,9.945140703637817,-6.790182248901124
1084,11.75939193351596,-9.620574355878666
1088,10.409890968348376,-8.835297241215388
1091,11.376366503890763,-8.880155166564753
1095,10.063388991030846,-8.128117057352
1099,10.452843176537273,-9.85803734663977
1104,11.0010657755184,-10.591303108036023
1108,11.931269165662963,-8.395927497722276
1113,9.760214265213609,-8.648646551301333
1118,11.125425089937357,-7.791770540539274
1123,12.533400951396084,-8.948211174246548
1127,11.534235519910471,-8.614758928523516
1131,12.199769875080406,-9.39036031677021
1135,11.416410253689714,-8.135253241472038
1140,11.490085445805226,-9.628214974960203
1146,10.176201720935229,-9.659745840883136
1152,12.03638776672471,-9.535406746016251
1158,9.967312325478185,-9.08683377509047
1164,12.063947095582321,-8.633782552336747
1169,11.455118589035155,-7.519432010598028
1174,11.278232103792691,-9.939827474459596
1178,12.042323954306797,-10.681847186891327
1182,10.721210241335001,-9.13808337245958
1186,12.251927614601135,-10.73428891748979
1190,12.408690516103162,-9.395425229229765
1194,13.87936088246048,-9.619205410789199
1200,13.175369912821454,-10.1897884766188
1205,11.256921001793566,-9.100375267964816
